City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
90,Rawson,-43.3,-65.1,55.2,41,65,4.54,AR,2020-08-23 23:35:24,broken clouds
91,Carnarvon,-24.87,113.63,59.0,82,0,13.87,AU,2020-08-23 23:33:48,clear sky
92,Tiksi,71.69,128.87,40.05,77,97,12.64,RU,2020-08-23 23:34:02,overcast clouds
93,Susurluk,39.91,28.16,73.4,73,0,4.7,TR,2020-08-23 23:39:12,clear sky
94,Myitkyina,25.38,97.4,75.36,96,99,0.54,MM,2020-08-23 23:39:13,light rain
95,Northam,51.03,-4.22,61.0,93,92,8.01,GB,2020-08-23 23:39:13,light rain
96,Mumbwa,-14.98,27.06,54.97,71,29,4.34,ZM,2020-08-23 23:39:13,scattered clouds
97,Asau,46.43,26.4,64.0,88,40,4.12,RO,2020-08-23 23:36:30,light rain
98,Nieuw Amsterdam,5.88,-55.08,80.6,83,40,4.7,SR,2020-08-23 23:39:13,scattered clouds
99,Victoria,22.29,114.16,84.99,83,18,8.01,HK,2020-08-23 23:34:47,few clouds
100,Buchanan,5.88,-10.05,76.14,85,94,11.18,LR,2020-08-23 23:39:14,light rain
101,Teya,60.38,92.63,52.74,81,70,1.74,RU,2020-08-23 23:39:14,broken clouds
102,Yellowknife,62.46,-114.35,63.0,48,20,2.24,CA,2020-08-23 23:39:14,few clouds
103,Inta,66.03,60.17,41.72,84,0,4.7,RU,2020-08-23 23:39:14,clear sky
104,Nanortalik,60.14,-45.24,44.28,86,0,6.44,GL,2020-08-23 23:39:15,clear sky
105,Alice Springs,-23.7,133.88,60.8,29,0,3.36,AU,2020-08-23 23:37:18,clear sky
106,Puerto Ayora,-0.74,-90.35,68.0,83,72,4.0,EC,2020-08-23 23:39:15,broken clouds
107,Vao,-22.67,167.48,70.2,72,91,11.81,NC,2020-08-23 23:39:15,overcast clouds
108,Ponta Do Sol,32.67,-17.1,75.2,64,20,16.11,PT,2020-08-23 23:34:03,few clouds
109,Bredasdorp,-34.53,20.04,55.4,93,100,3.36,ZA,2020-08-23 23:39:16,overcast clouds
110,Severo-Kurilsk,50.68,156.12,55.29,78,44,3.53,RU,2020-08-23 23:37:13,scattered clouds
111,Pevek,69.7,170.31,37.78,96,100,2.17,RU,2020-08-23 23:39:17,light rain
112,Bathsheba,13.22,-59.52,82.4,78,40,8.05,BB,2020-08-23 23:34:39,scattered clouds
113,Fougamou,-1.22,10.58,72.43,78,100,4.0,GA,2020-08-23 23:39:17,overcast clouds
114,Caravelas,-17.71,-39.25,69.31,80,100,10.69,BR,2020-08-23 23:39:17,light rain
115,Ostrovnoy,68.05,39.51,56.75,90,51,17.63,RU,2020-08-23 23:37:55,broken clouds
116,Walvis Bay,-22.96,14.51,53.01,93,0,11.41,NA,2020-08-23 23:39:18,clear sky
117,Chuy,-33.7,-53.46,53.62,85,0,11.25,UY,2020-08-23 23:34:18,clear sky
118,Port Augusta,-32.5,137.77,46.4,93,90,3.36,AU,2020-08-23 23:39:18,overcast clouds
119,Mponela,-13.53,33.74,58.35,77,2,9.35,MW,2020-08-23 23:39:19,clear sky
120,Sandovo,58.46,36.41,60.3,98,100,4.72,RU,2020-08-23 23:39:19,overcast clouds
121,Nauta,-4.51,-73.58,74.1,71,36,1.1,PE,2020-08-23 23:39:19,scattered clouds
122,Ambilobe,-13.2,49.05,64.18,83,52,3.56,MG,2020-08-23 23:34:45,broken clouds
123,Pitimbu,-7.47,-34.81,69.8,94,72,5.82,BR,2020-08-23 23:39:19,broken clouds
124,Jieshi,22.81,115.83,82.96,74,54,5.28,CN,2020-08-23 23:34:33,broken clouds
125,Khatanga,71.97,102.5,59.31,62,98,10.11,RU,2020-08-23 23:39:20,overcast clouds
126,San Luis,-33.3,-66.34,54.93,37,0,6.98,AR,2020-08-23 23:37:19,clear sky
127,Bud,39.45,-86.18,82.4,58,40,3.38,US,2020-08-23 23:39:20,scattered clouds
128,Saint-Augustin,51.23,-58.65,58.75,75,72,6.71,CA,2020-08-23 23:39:20,broken clouds
129,Arraial Do Cabo,-22.97,-42.03,67.46,63,3,11.12,BR,2020-08-23 23:39:20,clear sky
130,Vila Velha,-20.33,-40.29,68.0,72,40,11.41,BR,2020-08-23 23:34:49,scattered clouds
131,Nashville,36.17,-86.78,86.0,55,1,4.7,US,2020-08-23 23:35:28,clear sky
132,Mahebourg,-20.41,57.7,71.6,78,40,16.11,MU,2020-08-23 23:38:06,scattered clouds
133,Sur,22.57,59.53,78.31,81,38,10.38,OM,2020-08-23 23:38:04,scattered clouds
134,Nemuro,43.32,145.57,64.94,89,8,9.15,JP,2020-08-23 23:39:21,clear sky
135,Faya,18.39,42.45,68.0,77,45,3.6,SA,2020-08-23 23:39:22,scattered clouds
136,Narsaq,60.92,-46.05,50.0,76,20,3.36,GL,2020-08-23 23:39:22,few clouds
137,Ust-Omchug,61.15,149.63,42.3,61,3,6.58,RU,2020-08-23 23:39:22,clear sky
138,Qaqortoq,60.72,-46.03,50.0,76,20,3.36,GL,2020-08-23 23:39:22,few clouds
139,Nyagan,62.14,65.39,50.77,94,50,8.12,RU,2020-08-23 23:39:22,scattered clouds
140,Hami,42.8,93.45,77.97,25,82,3.36,CN,2020-08-23 23:36:40,light rain
141,Tarko-Sale,64.92,77.78,51.01,94,9,5.77,RU,2020-08-23 23:38:38,clear sky
142,Avanigadda,16.02,80.92,80.74,83,100,4.12,IN,2020-08-23 23:39:23,light rain
143,Hurghada,27.26,33.81,86.0,33,0,8.14,EG,2020-08-23 23:35:54,clear sky
144,Loughton,52.03,-0.79,55.0,86,68,1.99,GB,2020-08-23 23:39:23,broken clouds
145,Santa Maria,-29.68,-53.81,60.8,63,0,5.82,BR,2020-08-23 23:36:46,clear sky
146,Gushikawa,26.35,127.87,80.6,83,75,25.28,JP,2020-08-23 23:39:24,moderate rain
147,Puerto Leguizamo,-0.19,-74.78,72.86,82,49,2.62,CO,2020-08-23 23:39:24,scattered clouds
148,Chato,-2.64,31.77,70.2,50,41,3.29,TZ,2020-08-23 23:39:24,scattered clouds
149,Havre-Saint-Pierre,50.23,-63.6,55.4,87,20,10.29,CA,2020-08-23 23:39:25,few clouds
150,Bilibino,68.05,166.44,40.66,81,100,3.47,RU,2020-08-23 23:34:59,overcast clouds
151,Huarmey,-10.07,-78.15,61.65,81,5,8.46,PE,2020-08-23 23:39:25,clear sky
152,Adre,13.47,22.2,69.42,87,100,16.22,TD,2020-08-23 23:39:25,moderate rain
153,Nampula,-15.12,39.27,64.4,88,20,9.17,MZ,2020-08-23 23:39:25,few clouds
154,Castro,-24.79,-50.01,47.32,95,15,10.0,BR,2020-08-23 23:34:03,few clouds
155,Jinchang,38.5,102.17,70.88,30,0,7.16,CN,2020-08-23 23:39:26,clear sky
156,Ust-Nera,64.57,143.2,44.56,56,99,6.6,RU,2020-08-23 23:39:26,overcast clouds
157,Khasan,42.43,130.64,70.41,92,100,5.08,RU,2020-08-23 23:39:26,overcast clouds
158,Anadyr,64.75,177.48,53.6,87,40,6.71,RU,2020-08-23 23:37:16,shower rain
159,Floresta,-8.6,-38.57,74.14,70,27,20.96,BR,2020-08-23 23:39:27,scattered clouds
160,Huayang,34.42,109.99,61.39,93,100,6.71,CN,2020-08-23 23:39:27,overcast clouds
161,Te Anau,-45.42,167.72,50.4,66,82,1.12,NZ,2020-08-23 23:39:27,broken clouds
162,Talara,-4.58,-81.27,61.81,86,1,12.1,PE,2020-08-23 23:39:27,clear sky
163,Lodwar,3.12,35.6,79.63,53,89,23.33,KE,2020-08-23 23:39:28,overcast clouds
164,Mackay,-21.15,149.2,69.01,59,2,6.93,AU,2020-08-23 23:39:28,clear sky
165,Napier,-39.48,176.92,64.99,46,86,8.01,NZ,2020-08-23 23:39:28,overcast clouds
166,Pisco,-13.7,-76.22,62.6,82,90,9.17,PE,2020-08-23 23:39:28,overcast clouds
167,Ilulissat,69.22,-51.1,44.6,65,0,2.24,GL,2020-08-23 23:39:28,clear sky
168,Ubinskoye,55.31,79.68,50.77,94,55,4.56,RU,2020-08-23 23:39:29,broken clouds
169,Pudozh,61.81,36.53,59.85,97,100,7.02,RU,2020-08-23 23:39:29,overcast clouds
170,Itoman,26.12,127.67,80.01,88,75,35.57,JP,2020-08-23 23:39:29,heavy intensity shower rain
171,Kon Tum,14.35,108.0,73.33,91,96,1.63,VN,2020-08-23 23:35:34,overcast clouds
172,Vestmannaeyjar,63.44,-20.27,51.96,76,64,4.41,IS,2020-08-23 23:35:07,broken clouds
173,Ginir,7.13,40.7,58.68,86,81,11.86,ET,2020-08-23 23:39:30,broken clouds
174,Iquitos,-3.75,-73.25,69.8,88,90,2.24,PE,2020-08-23 23:38:01,overcast clouds
175,Anta,25.15,76.3,77.25,90,66,9.53,IN,2020-08-23 23:39:30,broken clouds
176,Amazar,53.86,120.88,52.38,92,100,5.99,RU,2020-08-23 23:39:30,light rain
177,Birjand,32.87,59.22,75.2,41,40,4.7,IR,2020-08-23 23:39:31,scattered clouds
178,Goderich,43.75,-81.72,84.99,69,0,5.99,CA,2020-08-23 23:39:31,clear sky
179,Broome,42.25,-75.83,77.0,69,1,3.36,US,2020-08-23 23:39:31,clear sky
180,Seoul,37.57,126.98,78.8,78,1,3.33,KR,2020-08-23 23:36:29,clear sky
181,San Jose,37.34,-121.89,88.0,51,90,11.41,US,2020-08-23 23:34:43,haze
182,Mahajanga,-15.72,46.32,69.8,68,50,5.82,MG,2020-08-23 23:39:32,scattered clouds
183,Eganville,45.53,-77.1,68.0,100,90,4.29,CA,2020-08-23 23:39:32,moderate rain
184,Viedma,-40.81,-63.0,57.99,43,65,3.0,AR,2020-08-23 23:39:32,broken clouds
185,Ust-Kuyga,70.02,135.6,42.01,70,34,10.94,RU,2020-08-23 23:39:32,scattered clouds
186,Cumana,10.46,-64.18,71.6,100,84,3.36,VE,2020-08-23 23:39:33,broken clouds
187,Gardez,33.6,69.23,65.1,78,0,4.18,AF,2020-08-23 23:39:33,clear sky
188,Saint George,37.1,-113.58,105.01,17,1,10.29,US,2020-08-23 23:35:00,clear sky
189,Imbituba,-28.24,-48.67,59.0,100,75,4.7,BR,2020-08-23 23:39:33,broken clouds
190,Touros,-5.2,-35.46,73.4,83,20,5.82,BR,2020-08-23 23:39:33,few clouds
191,Nyaunglebin,17.95,96.73,73.4,96,100,5.17,MM,2020-08-23 23:39:34,light rain
192,Ramsar,36.92,50.64,69.37,76,100,4.54,IR,2020-08-23 23:39:34,light rain
193,Cabedelo,-6.98,-34.83,69.8,94,61,5.82,BR,2020-08-23 23:39:34,broken clouds
194,Padang,-0.95,100.35,78.53,70,93,4.43,ID,2020-08-23 23:39:34,overcast clouds
195,Atar,20.52,-13.05,92.95,41,30,16.8,MR,2020-08-23 23:39:35,scattered clouds
196,Otane,-39.88,176.63,61.66,50,52,9.26,NZ,2020-08-23 23:39:35,broken clouds
197,Itarema,-2.92,-39.92,77.79,76,59,17.25,BR,2020-08-23 23:39:35,broken clouds
198,Nancha,47.13,129.27,68.85,71,100,1.88,CN,2020-08-23 23:39:35,overcast clouds
199,Quarai,-30.39,-56.45,54.28,85,0,9.73,BR,2020-08-23 23:35:09,clear sky
200,Fraga,41.52,0.35,70.0,49,79,4.7,ES,2020-08-23 23:39:36,broken clouds
201,San Cristobal,7.77,-72.22,86.0,45,40,18.34,VE,2020-08-23 23:39:36,scattered clouds
202,Qandala,11.47,49.87,87.84,50,29,10.0,SO,2020-08-23 23:39:36,scattered clouds
203,Magadi,12.97,77.23,71.6,100,75,6.93,IN,2020-08-23 23:39:36,light rain
204,Samarai,-10.62,150.67,76.26,77,100,13.91,PG,2020-08-23 23:39:37,overcast clouds
205,Dingle,11.0,122.67,81.68,81,39,3.11,PH,2020-08-23 23:39:37,scattered clouds
206,Yuncheng,35.02,110.99,72.1,79,99,14.43,CN,2020-08-23 23:39:37,overcast clouds
207,Haimen,23.19,116.61,82.4,83,5,2.24,CN,2020-08-23 23:39:37,clear sky
208,Aragarcas,-15.9,-52.25,77.67,41,0,5.23,BR,2020-08-23 23:39:37,clear sky
209,Brownwood,31.71,-98.99,93.2,23,1,10.29,US,2020-08-23 23:34:54,clear sky
210,Cape Town,-33.93,18.42,59.0,87,20,9.17,ZA,2020-08-23 23:38:03,few clouds
211,Andenes,69.31,16.12,51.8,81,100,8.05,NO,2020-08-23 23:39:38,light rain
212,Portland,45.52,-122.68,84.0,32,20,8.05,US,2020-08-23 23:37:12,few clouds
213,Klaksvik,62.23,-6.59,44.6,93,73,1.12,FO,2020-08-23 23:33:55,broken clouds
214,Bagaces,10.53,-85.25,78.8,83,75,8.05,CR,2020-08-23 23:39:39,broken clouds
215,Kalmunai,7.42,81.82,78.04,80,18,9.17,LK,2020-08-23 23:39:39,few clouds
216,Zhezkazgan,47.8,67.71,67.75,38,99,9.31,KZ,2020-08-23 23:39:39,overcast clouds
217,Muriwai Beach,-36.82,174.45,60.01,85,97,5.01,NZ,2020-08-23 23:39:40,light rain
218,Necochea,-38.55,-58.74,50.0,78,21,11.01,AR,2020-08-23 23:39:40,few clouds
219,Den Helder,52.96,4.76,64.4,88,75,14.99,NL,2020-08-23 23:37:13,drizzle
220,Deyang,31.13,104.38,75.99,10,100,7.81,CN,2020-08-23 23:39:41,overcast clouds
221,Kichera,55.94,110.1,57.15,82,100,2.53,RU,2020-08-23 23:39:41,light rain
222,Zima,53.92,102.04,54.27,86,70,0.78,RU,2020-08-23 23:39:41,broken clouds
223,Manuk Mangkaw,4.8,119.85,83.79,72,2,6.69,PH,2020-08-23 23:39:41,light rain
224,Goma,-1.68,29.22,64.81,65,58,1.83,CD,2020-08-23 23:39:42,broken clouds
225,Namibe,-15.2,12.15,64.18,90,50,1.79,AO,2020-08-23 23:39:42,scattered clouds
226,Tuatapere,-46.13,167.68,55.99,80,49,7.0,NZ,2020-08-23 23:36:31,scattered clouds
227,Kvarkeno,52.08,59.73,51.69,85,0,6.33,RU,2020-08-23 23:39:42,clear sky
228,Oktyabrskiy,54.48,53.47,52.72,89,0,2.28,RU,2020-08-23 23:39:43,clear sky
229,Copiapo,-27.37,-70.33,55.4,58,0,8.05,CL,2020-08-23 23:39:43,clear sky
230,Husavik,66.04,-17.34,44.6,81,82,5.82,IS,2020-08-23 23:39:43,broken clouds
231,Wajima,37.4,136.9,78.8,83,40,3.36,JP,2020-08-23 23:39:43,scattered clouds
232,Kropotkin,45.44,40.58,59.43,51,0,8.59,RU,2020-08-23 23:39:43,clear sky
233,Aripuana,-9.17,-60.63,78.6,39,0,0.63,BR,2020-08-23 23:39:44,clear sky
234,Alta Floresta,-9.88,-56.09,80.58,32,1,2.73,BR,2020-08-23 23:39:44,clear sky
235,Salinopolis,-0.61,-47.36,80.11,82,77,10.94,BR,2020-08-23 23:39:44,broken clouds
236,Awjilah,29.11,21.29,76.96,56,0,13.13,LY,2020-08-23 23:37:42,clear sky
237,Larsnes,62.2,5.58,48.99,76,85,11.01,NO,2020-08-23 23:39:44,light rain
238,Benjamin Constant,-4.38,-70.03,69.8,100,90,3.36,BR,2020-08-23 23:39:45,overcast clouds
239,Havelock,34.88,-76.9,79.0,83,40,6.93,US,2020-08-23 23:39:45,light rain
240,Saskylakh,71.92,114.08,48.06,65,0,10.04,RU,2020-08-23 23:34:03,clear sky
241,Port Alfred,-33.59,26.89,57.49,81,68,10.58,ZA,2020-08-23 23:39:45,broken clouds
242,Plettenberg Bay,-34.05,23.37,58.68,77,99,4.79,ZA,2020-08-23 23:39:45,light rain
243,Ostend,51.22,2.91,60.8,82,40,12.75,BE,2020-08-23 23:39:46,scattered clouds
244,Comodoro Rivadavia,-45.87,-67.5,48.2,70,75,4.7,AR,2020-08-23 23:39:46,broken clouds
245,Koson,39.04,65.58,78.8,36,40,6.93,UZ,2020-08-23 23:39:46,thunderstorm
246,Manavalakurichi,8.13,77.3,80.6,83,20,1.12,IN,2020-08-23 23:39:46,mist
247,Pechora,65.15,57.22,45.43,85,0,5.1,RU,2020-08-23 23:39:46,clear sky
248,Molochnoye,59.29,39.68,61.29,93,100,6.17,RU,2020-08-23 23:39:47,overcast clouds
249,Tahe,52.33,124.73,59.43,96,100,4.07,CN,2020-08-23 23:39:47,moderate rain
250,Lima,-12.04,-77.03,62.6,72,90,14.99,PE,2020-08-23 23:37:05,overcast clouds
251,Yulara,-25.24,130.99,59.0,30,0,6.93,AU,2020-08-23 23:39:47,clear sky
252,Balkanabat,39.51,54.37,73.87,42,91,9.95,TM,2020-08-23 23:34:00,overcast clouds
253,Chokwe,-24.53,32.98,61.97,57,0,5.97,MZ,2020-08-23 23:39:48,clear sky
254,Puerto Del Rosario,28.5,-13.86,78.8,54,0,16.11,ES,2020-08-23 23:39:48,clear sky
255,Pochutla,15.74,-96.47,73.4,88,90,3.94,MX,2020-08-23 23:36:23,thunderstorm with heavy rain
256,Whyalla,-33.03,137.58,46.4,93,90,3.36,AU,2020-08-23 23:39:48,overcast clouds
257,Jalu,29.03,21.55,78.6,44,0,12.82,LY,2020-08-23 23:34:54,clear sky
258,Hofn,64.25,-15.21,49.98,79,97,4.59,IS,2020-08-23 23:36:46,overcast clouds
259,Loviisa,60.46,26.23,59.0,91,74,1.01,FI,2020-08-23 23:39:49,broken clouds
260,Coihaique,-45.58,-72.07,35.6,93,90,5.82,CL,2020-08-23 23:35:57,overcast clouds
261,Eydhafushi,5.1,73.07,82.11,70,94,2.37,MV,2020-08-23 23:39:49,light rain
262,Port Lincoln,-34.73,135.87,51.6,71,71,5.12,AU,2020-08-23 23:39:50,broken clouds
263,Bonoua,5.27,-3.6,75.2,100,20,3.36,CI,2020-08-23 23:39:50,few clouds
264,Hualmay,-11.1,-77.61,60.46,82,9,9.17,PE,2020-08-23 23:37:48,clear sky
265,Luderitz,-26.65,15.16,56.79,73,0,9.31,NA,2020-08-23 23:38:00,clear sky
266,Sovetskiy,61.36,63.58,47.79,97,26,5.95,RU,2020-08-23 23:39:50,scattered clouds
267,Port Hedland,-20.32,118.57,62.6,63,0,5.23,AU,2020-08-23 23:39:50,clear sky
268,Kijang,35.24,129.21,80.6,78,20,2.24,KR,2020-08-23 23:39:51,few clouds
269,Puerto Escondido,15.85,-97.07,80.6,69,90,5.93,MX,2020-08-23 23:39:51,overcast clouds
270,Taltal,-25.4,-70.48,51.57,77,28,0.96,CL,2020-08-23 23:39:51,scattered clouds
271,Liwale,-9.77,37.93,66.25,85,76,2.55,TZ,2020-08-23 23:39:51,broken clouds
