City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Khasan,RU,70.41,overcast clouds,42.43,130.64,Krako Motorkár
159,Floresta,BR,74.14,scattered clouds,-8.6,-38.57,Pousada Maria Bonita
162,Talara,PE,61.81,clear sky,-4.58,-81.27,Hostal Oro Negro
163,Lodwar,KE,79.63,overcast clouds,3.12,35.6,Turkwel Lodge
164,Mackay,AU,69.01,clear sky,-21.15,149.2,International Lodge Motel
165,Napier,NZ,64.99,overcast clouds,-39.48,176.92,The Nautilus Napier
166,Pisco,PE,62.6,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
171,Kon Tum,VN,73.33,overcast clouds,14.35,108.0,Hoa đà spa- homestay
174,Iquitos,PE,69.8,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
175,Anta,IN,77.25,broken clouds,25.15,76.3,Agnisaman Kendra
177,Birjand,IR,75.2,scattered clouds,32.87,59.22,Birjand Tourist Hotel
179,Broome,US,77.0,clear sky,42.25,-75.83,Chenango Valley State Park
180,Seoul,KR,78.8,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
182,Mahajanga,MG,69.8,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
183,Eganville,CA,68.0,moderate rain,45.53,-77.1,Egan Inn
186,Cumana,VE,71.6,broken clouds,10.46,-64.18,TIUNA INN HOTEL
187,Gardez,AF,65.1,clear sky,33.6,69.23,زرمت سهاک سیاحتی شرکت TRAVEL AGANCY
190,Touros,BR,73.4,few clouds,-5.2,-35.46,INN NEW HORIZON
191,Nyaunglebin,MM,73.4,light rain,17.95,96.73,Royal Motel
192,Ramsar,IR,69.37,light rain,36.92,50.64,Rasa Residential Hotel
193,Cabedelo,BR,69.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
194,Padang,ID,78.53,overcast clouds,-0.95,100.35,Mercure Padang
196,Otane,NZ,61.66,broken clouds,-39.88,176.63,Ludlow Farmstay
197,Itarema,BR,77.79,broken clouds,-2.92,-39.92,Windvillage
198,Nancha,CN,68.85,overcast clouds,47.13,129.27,Communications Hotel
200,Fraga,ES,70.0,broken clouds,41.52,0.35,Hotel Casanova
203,Magadi,IN,71.6,light rain,12.97,77.23,Mindri of Magadi
204,Samarai,PG,76.26,overcast clouds,-10.62,150.67,Nuli Sapi
206,Yuncheng,CN,72.1,overcast clouds,35.02,110.99,晋州快捷酒店
208,Aragarcas,BR,77.67,clear sky,-15.9,-52.25,Hotel Pousada Tropical
214,Bagaces,CR,78.8,broken clouds,10.53,-85.25,Cabinas Tamarindo Bagaces
215,Kalmunai,LK,78.04,few clouds,7.42,81.82,VS Villa
216,Zhezkazgan,KZ,67.75,overcast clouds,47.8,67.71,Kvartiry Posutochno.
217,Muriwai Beach,NZ,60.01,light rain,-36.82,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
219,Den Helder,NL,64.4,drizzle,52.96,4.76,Hotel Den Helder
220,Deyang,CN,75.99,overcast clouds,31.13,104.38,Milletholly Resort Hotel
224,Goma,CD,64.81,broken clouds,-1.68,29.22,"Goma, CENTRE D'ACCUEIL CARITAS"
225,Namibe,AO,64.18,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
231,Wajima,JP,78.8,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
238,Benjamin Constant,BR,69.8,overcast clouds,-4.38,-70.03,CASA AVALIADA
239,Havelock,US,79.0,light rain,34.88,-76.9,Sherwood Motel
243,Ostend,BE,60.8,scattered clouds,51.22,2.91,Hotel Cardiff & Afternoon Tea Lounge
248,Molochnoye,RU,61.29,overcast clouds,59.29,39.68,Molochnyy Bereg Eko Dom
250,Lima,PE,62.6,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
252,Balkanabat,TM,73.87,overcast clouds,39.51,54.37,Nebitchi Hotel
253,Chokwe,MZ,61.97,clear sky,-24.53,32.98,Complexo Sonho Real
254,Puerto Del Rosario,ES,78.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
255,Pochutla,MX,73.4,thunderstorm with heavy rain,15.74,-96.47,Hotel Posada San Jose
257,Jalu,LY,78.6,clear sky,29.03,21.55,Jalu Hotel
263,Bonoua,CI,75.2,few clouds,5.27,-3.6,Hotel Bon Samaritian
264,Hualmay,PE,60.46,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
267,Port Hedland,AU,62.6,clear sky,-20.32,118.57,The Esplanade Hotel
271,Liwale,TZ,66.25,broken clouds,-9.77,37.93,Samoma Lodge
274,Kandrian,PG,75.88,heavy intensity rain,-6.22,149.55,Kandrian Station
281,Muros,ES,66.0,clear sky,42.78,-9.06,Apartment Av. Castelao
284,Torbay,CA,63.0,few clouds,47.67,-52.73,Gallows Cove
285,Nabha,IN,78.4,clear sky,30.37,76.15,City Heart Hotel and Restaurant
288,Hervey Bay,AU,60.8,clear sky,-25.3,152.85,Shelly Bay Resort
289,Ponta Delgada,PT,71.6,few clouds,37.73,-25.67,Vila Nova Hotel
290,Xai-Xai,MZ,62.08,clear sky,-25.05,33.64,Platinum Hotel
291,Acajutla,SV,78.8,few clouds,13.59,-89.83,Stop.
293,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
296,Orel-Izumrud,RU,66.2,broken clouds,43.46,39.92,SM Royal
297,Tezu,IN,77.04,overcast clouds,27.92,96.17,Circuit House
298,Puerto Carreno,CO,75.2,broken clouds,6.19,-67.49,Casa Hotel Victoria
304,Bandarbeyla,SO,75.25,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
306,Bay Roberts,CA,61.0,clear sky,47.6,-53.26,Stonewall Inn
308,Grand Gaube,MU,71.01,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
309,Mpanda,TZ,64.92,few clouds,-6.37,31.04,CH Hotel - Mpanda
310,Watsa,CD,62.08,scattered clouds,3.04,29.54,Hôtel Le Pacifique
311,Mareeba,AU,72.0,few clouds,-17.0,145.43,Trinity Plains Tourist Park
314,Majene,ID,79.59,few clouds,-3.54,118.97,Kost Putri RABBANI
315,Portoferraio,IT,78.01,clear sky,42.81,10.31,Hotel Villa Ombrosa
323,Saint-Pierre,RE,64.4,few clouds,-21.34,55.48,Lindsey Hôtel
324,Humberto De Campos,BR,77.16,few clouds,-2.6,-43.46,Pousada do Cabeça
325,Mayumba,GA,73.58,overcast clouds,-3.43,10.66,LIKWALE LODGE
326,Zhanaozen,KZ,64.94,overcast clouds,43.3,52.8,K.korabay 28A
331,Ajdabiya,LY,72.32,clear sky,30.76,20.23,فندق التوجان
332,Bundaberg,AU,60.8,clear sky,-24.85,152.35,Takalvan Motel
334,Isiro,CD,66.88,overcast clouds,2.77,27.62,Nova
335,Laizhou,CN,79.32,light rain,37.18,119.93,Baidu International Hotel
337,Moyo,UG,63.68,light rain,3.66,31.72,"Multi Purpose Training Center, Moyo"
338,Kurud,IN,75.42,overcast clouds,20.83,81.72,Chanachur bhel
340,Kaeo,NZ,63.0,light rain,-35.1,173.78,Bushido Lodge
342,Monrovia,LR,76.98,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
343,Shetpe,KZ,65.64,broken clouds,44.17,52.12,Rtsm Shetpe Analog
344,Sechura,PE,65.19,clear sky,-5.56,-80.82,Hospedaje Costa Bella
347,Vila Franca Do Campo,PT,71.6,few clouds,37.72,-25.43,Pestana Bahia Praia
349,Biak,ID,79.74,few clouds,-0.91,122.88,Kost Ariz
355,Reporoa,NZ,60.01,light rain,-38.43,176.35,Reporoa
356,Cordele,US,78.8,scattered clouds,31.96,-83.78,Ramada by Wyndham Cordele
357,Belmonte,BR,68.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
358,Andreapol,RU,62.02,moderate rain,56.65,32.27,Gostevoy Dom Uyut
360,Nabire,ID,76.59,light rain,-3.37,135.48,Hotel Nusantara Nabire
362,Derbent,RU,70.54,overcast clouds,42.07,48.29,Elit
366,Barreiras,BR,79.16,broken clouds,-12.15,-44.99,Hotel Solar das Mangueiras - Barreiras
368,Tutoia,BR,79.21,clear sky,-2.76,-42.27,Pousada Guará's
371,Amuntai,ID,77.07,clear sky,-2.42,115.25,Hotel Balqis
372,Port Macquarie,AU,60.01,clear sky,-31.43,152.92,Rydges Port Macquarie
373,Axim,GH,74.25,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
375,Alihe,CN,63.28,overcast clouds,50.57,123.72,Alihe Forestry Hotel
376,Muisne,EC,78.8,overcast clouds,0.6,-80.03,Quinta Samay
379,Camacha,PT,73.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
386,Maragogi,BR,72.79,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
387,Tete,MZ,62.6,scattered clouds,-16.16,33.59,Zambeze Paraíso Misterioso
390,Bardiyah,LY,74.7,clear sky,31.76,25.09,بورتو بردية
393,Praia Da Vitoria,PT,73.4,few clouds,38.73,-27.07,Hotel Branco I
396,Margate,GB,63.0,overcast clouds,51.38,1.39,Premier Inn Margate hotel
397,Wanlaweyn,SO,73.74,overcast clouds,2.62,44.89,Haji Qasim Hotel
399,Rabaul,PG,78.64,light rain,-4.2,152.17,Rabaul Hotel
404,Vrnjacka Banja,RS,69.8,clear sky,43.62,20.9,Luxury Rooms Minjon
407,Marfino,RU,63.0,overcast clouds,55.7,37.38,Kardiologicheskiy Sanatornyy Tsentr Peredelkino
408,Nouadhibou,MR,75.2,few clouds,20.93,-17.03,El Medina
410,Sosua,DO,78.01,overcast clouds,19.77,-70.52,Piergiorgio Palace Hotel
412,Meulaboh,ID,76.69,broken clouds,4.14,96.13,Kost Pria
414,Samana,DO,79.32,light rain,19.21,-69.34,The Bannister - Hotel & Yacht Club
417,Southbridge,US,73.99,moderate rain,42.08,-72.03,Southbridge Hotel & Conference Center
419,Guaratinga,BR,68.0,broken clouds,-16.57,-39.57,Hotel Caraíva
420,Beidao,CN,63.82,scattered clouds,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
421,Bamiantong,CN,70.21,overcast clouds,44.93,130.53,Dehuiyuan Leisure Resort
431,Mana,GF,79.41,light rain,5.66,-53.78,LE SAMANA
432,Kabinda,CD,69.22,overcast clouds,-6.13,24.48,Village Mianda Mutole
434,Changli,CN,75.29,moderate rain,39.7,119.15,7Days Inn Qinhuangdao Changli Jieyang Street
435,Komsomolskiy,UZ,71.6,clear sky,40.43,71.72,Ikathouse
442,Puerto Ayacucho,VE,75.2,broken clouds,5.66,-67.62,Posada Turistica Manapiare
445,Prado,BR,67.32,overcast clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
453,Novobureyskiy,RU,68.38,broken clouds,49.8,129.88,"Gostinitsa ""Medvezhiy Ugol"""
454,Kashi,CN,77.0,clear sky,39.45,75.98,帕米尔青年旅舍
455,Mujiayingzi,CN,63.66,overcast clouds,42.12,118.78,Jinjiang Hotel
459,Mount Isa,AU,64.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
466,Nicoya,CR,78.8,broken clouds,10.15,-85.45,Guayacan Real
467,Pemangkat,ID,76.86,overcast clouds,1.17,108.97,Kost H.Syamsuddin
469,Velingara,SN,76.77,light rain,13.15,-14.12,Hotel Najla
470,Poum,NC,72.63,scattered clouds,-20.23,164.02,Gîte kajeon
473,Santa Isabel Do Rio Negro,BR,77.99,clear sky,-0.41,-65.02,Hotel GSA
474,Urambo,TZ,73.18,broken clouds,-5.07,32.05,Fair Lodge
475,Cap Malheureux,MU,71.01,light rain,-19.98,57.61,Pereybere Hotel & Spa
480,Chapais,CA,66.2,few clouds,49.78,-74.85,Hôtel Opémiska
484,Eyl,SO,75.63,broken clouds,7.98,49.82,Amiin Hotel
487,Cabra,ES,77.0,clear sky,37.47,-4.44,MS Fuente Las Piedras
488,Bontang,ID,78.62,scattered clouds,0.13,117.5,Okra Leaf Guest House Syariah
490,Simao,CN,66.16,overcast clouds,22.79,100.97,Changyu Hotel
491,Muri,IN,77.0,light rain,23.37,85.87,Sanyasi Lodge
493,Matagami,CA,68.0,clear sky,49.75,-77.63,Hôtel Matagami
494,Marica,BR,66.2,scattered clouds,-22.92,-42.82,Marica Hills
497,Soyo,AO,72.82,scattered clouds,-6.13,12.37,Hotel Mpampa
498,Erice,IT,77.0,clear sky,38.04,12.59,Hotel Villa San Giovanni
499,Angoche,MZ,68.85,few clouds,-16.23,39.91,Guest House HESADA
502,Kenitra,MA,64.4,clear sky,34.26,-6.58,Bienvenue chez vous
503,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
507,Tabou,CI,76.24,overcast clouds,4.42,-7.35,hotêl doufoulougou
511,Grand-Santi,GF,73.89,broken clouds,4.25,-54.38,Hotel La Villa Couacou
513,Quatre Cocos,MU,71.6,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
514,Shwebo,MM,76.64,overcast clouds,22.57,95.7,MOON SHINE Guest House
516,Garissa,KE,72.75,broken clouds,-0.45,39.64,Sharif Plaza Hotel
521,La Romana,DO,79.72,overcast clouds,18.43,-68.97,Casa de Campo Resort and Villas
522,Orocue,CO,76.26,few clouds,4.79,-71.34,Hotel Brisas de San Miguel
526,Corrientes,AR,72.0,few clouds,-27.48,-58.83,Gran Hotel Guaraní
527,Abha,SA,68.0,broken clouds,18.22,42.51,Abha Hotel
528,Halifax,CA,69.01,overcast clouds,44.65,-63.57,Hotel Halifax
530,Thunder Bay,CA,73.4,few clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
532,Sambava,MG,68.56,broken clouds,-14.27,50.17,Melrose
533,Kupang,ID,78.8,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
534,Banting,MY,77.0,few clouds,2.82,101.5,Hotel Intan Jugra
535,Yeppoon,AU,62.6,clear sky,-23.13,150.73,Villa Mar Colina
538,Khani,GE,62.6,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
541,Jais,IN,79.83,broken clouds,26.25,81.53,Manoj Tea Staal
543,Santiago Del Estero,AR,66.07,broken clouds,-27.8,-64.26,Hotel Urbano
545,Baiquan,CN,64.89,moderate rain,47.58,126.08,Wenxin Home Leisure Express Hotel
546,Ariquemes,BR,77.79,clear sky,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
547,Izumo,JP,78.8,few clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
548,Linqiong,CN,72.0,light intensity shower rain,30.42,103.46,Tianlun Tanxianglou Hotel
549,Fontaine,FR,64.4,scattered clouds,45.2,5.68,ibis Grenoble Gare
554,Mandera,KE,77.07,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
555,Porto Novo,BJ,72.75,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
556,Jiangyou,CN,72.28,overcast clouds,31.77,104.72,Shangping Shuyuan Inn
557,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
558,Champerico,GT,78.8,moderate rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
559,Rochefort,FR,64.4,few clouds,45.92,-1.0,Hôtel de France
562,Ranau,MY,75.2,few clouds,5.95,116.66,Ranau Backpackers Hostel
564,Kayunga,UG,66.16,broken clouds,0.7,32.89,Katikomu Hotel
565,Suez,EG,75.67,clear sky,29.97,32.53,Green House
570,Khash,IR,71.19,clear sky,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
571,Sinnai,IT,73.99,clear sky,39.3,9.2,La Rosa Dei Venti Sardinya
572,Kangaba,ML,73.9,broken clouds,11.93,-8.42,Hôtel Mandé
573,Odesa,UA,66.2,clear sky,46.48,30.73,Londonskaya Hotel
574,Harper,LR,76.55,overcast clouds,4.38,-7.72,Screensaver
575,Visby,SE,64.0,few clouds,57.64,18.3,Best Western Solhem Hotel Visby
576,Toktogul,KG,69.84,few clouds,41.87,72.94,KAGAN
579,Colares,PT,69.01,clear sky,38.8,-9.45,Arribas Sintra Hotel
582,Juru,MY,78.8,few clouds,5.31,100.44,Luscious Hotel
590,Teguise,ES,75.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
591,Serramanna,IT,73.99,clear sky,39.42,8.92,Polly
596,Payo,ID,72.77,overcast clouds,-3.75,103.64,Mess keban agung
597,Monster,NL,63.0,heavy intensity rain,52.03,4.17,Vakantiepark Kijkduin
599,Tibati,CM,65.93,overcast clouds,6.47,12.63,Tibati Hotel
602,Pirajui,BR,64.4,clear sky,-22.0,-49.46,Pirajuí Plaza Hotel
607,Maxixe,MZ,63.32,clear sky,-23.86,35.35,Oceano
611,Okha,RU,60.46,clear sky,53.57,142.95,Империя
612,Moron,AR,62.01,clear sky,-34.65,-58.62,Hotel Morón
613,Hoshangabad,IN,74.34,overcast clouds,22.75,77.72,STARiHOTELS Hoshangabad
614,Banfora,BF,73.18,broken clouds,10.63,-4.77,Residences David Hebié
615,Fredericton,CA,75.2,overcast clouds,45.95,-66.67,Crowne Plaza Fredericton-Lord Beaverbrook
616,Neusiedl Am See,AT,68.0,overcast clouds,47.94,16.83,Hotel Wende
617,Ginda,IN,65.5,overcast clouds,30.69,78.49,Bal uma sankar hotel and restaurant
624,Boa Vista,BR,77.0,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
626,La Asuncion,VE,71.6,light rain,11.03,-63.86,Colinas de Matasiete
